Espanol;Positivo;Negativo;Enojo;Anticipacion;Desagrado;Miedo;Alegria;Tristeza;Sorpresa;Confianza
detras;0;0;0;0;0;0;0;0;0;0
abaco;0;0;0;0;0;0;0;0;0;1
abandonar;0;1;0;0;0;1;0;1;0;0
abandonado;0;1;1;0;0;1;0;1;0;0
abandono;0;1;1;0;0;1;0;1;1;0
disminuir;0;0;0;0;0;0;0;0;0;0
disminucion;0;0;0;0;0;0;0;0;0;0
Abba;1;0;0;0;0;0;0;0;0;0
abad;0;0;0;0;0;0;0;0;0;1
abreviar;0;0;0;0;0;0;0;0;0;0
abreviatura;0;0;0;0;0;0;0;0;0;0
abdomen;0;0;0;0;0;0;0;0;0;0
abdominal;0;0;0;0;0;0;0;0;0;0
secuestro;0;1;0;0;0;1;0;1;1;0
aberrante;0;1;0;0;0;0;0;0;0;0
aberracion;0;1;0;0;1;0;0;0;0;0
suspension;0;0;0;0;0;0;0;0;0;0
aborrecer;0;1;1;0;1;1;0;0;0;0
aborrecible;0;1;1;0;1;1;0;0;0;0
acatar;0;0;0;0;0;0;0;0;0;0
capacidad;1;0;0;0;0;0;0;0;0;0
abyecto;0;1;0;0;1;0;0;0;0;0
ablacion;0;0;0;0;0;0;0;0;0;0
ardiendo;0;0;0;0;0;0;0;0;0;0
anormal;0;1;0;0;1;0;0;0;0;0
a bordo;0;0;0;0;0;0;0;0;0;0
morada;0;0;0;0;0;0;0;0;0;0
abolir;0;1;1;0;0;0;0;0;0;0
abolicion;0;1;0;0;0;0;0;0;0;0
abominable;0;1;0;0;1;1;0;0;0;0
abominacion;0;1;1;0;1;1;0;0;0;0
aborigen;0;0;0;0;0;0;0;0;0;0
abortar;0;1;0;0;0;0;0;0;0;0
aborto;0;1;0;0;1;1;0;1;0;0
abortivo;0;1;0;0;0;0;0;1;0;0
abundar;0;0;0;0;0;0;0;0;0;0
abrasion;0;1;0;0;0;0;0;0;0;0
en el extranjero;0;0;0;0;0;0;0;0;0;0
abrogar;0;1;0;0;0;0;0;0;0;0
abrupto;0;0;0;0;0;0;0;0;1;0
abruptamente;0;0;0;0;0;0;0;0;0;0
absceso;0;1;0;0;0;0;0;1;0;0
ausencia;0;1;0;0;0;1;0;1;0;0
ausente;0;1;0;0;0;0;0;1;0;0
ausente;0;1;0;0;0;0;0;1;0;0
absentismo;0;1;0;0;0;0;0;0;0;0
Ajenjo;0;0;0;0;0;0;0;0;0;0
absoluto;1;0;0;0;0;0;0;0;0;0
absolucion;1;0;0;0;0;0;1;0;0;1
absorbido;1;0;0;0;0;0;0;0;0;0
absorbente;0;0;0;0;0;0;0;0;0;0
absorbente;0;0;0;0;0;0;0;0;0;0
absorcion;0;0;0;0;0;0;0;0;0;0
abstenerse;0;0;0;0;0;0;0;0;0;0
abstencion;0;0;0;0;0;0;0;0;0;0
abstinencia;0;0;0;0;0;0;0;0;0;0
abstracto;0;0;0;0;0;0;0;0;0;0
abstraccion;0;0;0;0;0;0;0;0;0;0
absurdo;0;1;0;0;0;0;0;0;0;0
absurdo;0;1;0;0;0;0;0;0;0;0
abundancia;1;1;0;1;1;0;1;0;0;1
abundante;1;0;0;0;0;0;1;0;0;0
abuso;0;1;1;0;1;1;0;1;0;0
contrafuerte;0;0;0;0;0;0;0;0;0;0
abismal;0;1;0;0;0;0;0;1;0;0
abismo;0;1;0;0;0;1;0;1;0;0
academico;1;0;0;0;0;0;0;0;0;1
academia;1;0;0;0;0;0;0;0;0;0
acceder a;0;0;0;0;0;0;0;0;0;0
acelerar;0;0;0;1;0;0;0;0;0;0
aceleracion;0;0;0;0;0;0;0;0;0;0
acento;0;0;0;0;0;0;0;0;0;0
acentuar;0;0;0;0;0;0;0;0;0;0
aceptar;0;0;0;0;0;0;0;0;0;0
aceptable;1;0;0;0;0;0;0;0;0;0
aceptacion;1;0;0;0;0;0;0;0;0;0
acceso;0;0;0;0;0;0;0;0;0;0
accesible;1;0;0;0;0;0;0;0;0;0
adhesion;0;0;0;0;0;0;0;0;0;0
accesorio;0;0;0;0;0;0;0;0;0;0
accidente;0;1;0;0;0;1;0;1;1;0
accidental;0;1;0;0;0;1;0;0;1;0
accidentalmente;0;0;0;0;0;0;0;0;1;0
espaldarazo;1;0;0;1;0;0;1;0;1;1
acomodar;0;0;0;0;0;0;0;0;0;0
alojamiento;1;0;0;0;0;0;0;0;0;0
acompanamiento;1;0;0;1;0;0;1;0;0;1
acompanar;0;0;0;0;0;0;0;0;0;0
acompanamiento;0;0;0;0;0;0;0;0;0;0
complice;0;0;0;0;0;0;0;0;0;0
realizar;1;0;0;0;0;0;1;0;0;0
consumado;1;0;0;0;0;0;1;0;0;0
logro;1;0;0;0;0;0;0;0;0;0
acuerdo;1;0;0;0;0;0;0;0;0;1
conformidad;0;0;0;0;0;0;0;0;0;0
acordeon;0;0;0;0;0;0;0;0;0;0
cuenta;0;0;0;0;0;0;0;0;0;1
responsabilidad;1;0;0;0;0;0;0;0;0;1
explicable;1;0;0;0;0;0;0;0;0;1
contador;0;0;0;0;0;0;0;0;0;1
contabilidad;0;0;0;0;0;0;0;0;0;0
cuentas;0;0;0;0;0;0;0;0;0;1
autorizado;1;0;0;0;0;0;0;0;0;1
acrecion;0;0;0;0;0;0;0;0;0;0
acumularse;0;0;0;0;0;0;0;0;0;0
acumular;0;0;0;0;0;0;0;0;0;0
acumulacion;0;0;0;0;0;0;0;0;0;0
exactitud;0;0;0;0;0;0;0;0;0;0
preciso;1;0;0;0;0;0;0;0;0;1
maldito;0;1;1;0;0;1;0;1;0;0
acusacion;0;1;1;0;1;0;0;0;0;0
acusativo;0;1;0;0;0;0;0;0;0;0
acusado;0;1;1;0;0;1;0;0;0;0
acusador;0;1;1;0;0;1;0;0;0;0
acusando;0;1;1;0;0;1;0;0;0;0
acostumbrado;0;0;0;0;0;0;0;0;0;0
as;1;0;0;0;0;0;0;0;0;0
acetico;0;0;0;0;0;0;0;0;0;0
dolor;0;1;0;0;0;0;0;1;0;0
lograr;1;0;0;0;0;0;1;0;0;1
logro;1;0;0;1;0;0;1;0;0;1
dolor;0;1;0;0;0;0;0;1;0;0
acido;0;1;0;0;0;0;0;0;0;0
acidez;0;0;0;0;0;0;0;0;0;0
reconocer;0;0;0;0;0;0;0;0;0;0
admitido;0;0;0;0;0;0;0;0;0;0
reconocimiento;1;0;0;0;0;0;0;0;0;0
cumbre;0;0;0;0;0;0;0;0;0;0
acustico;0;0;0;0;0;0;0;0;0;0
acustica;0;0;0;0;0;0;0;0;0;0
familiarizar;0;0;0;0;0;0;0;0;0;0
conocido;0;0;0;0;0;0;0;0;0;0
familiarizado;0;0;0;0;0;0;0;0;0;0
aquiescencia;0;0;0;0;0;0;0;0;0;0
adquirir;1;0;0;0;0;0;0;0;0;0
adquisidor;1;0;0;1;0;0;0;0;0;0
adquisicion;0;0;0;0;0;0;0;0;0;0
adquisiciones;0;0;0;0;0;0;0;0;0;0
superficie en acres;0;0;0;0;0;0;0;0;0;0
hectareas;0;0;0;0;0;0;0;0;0;0
acrobata;1;0;0;0;0;1;1;0;0;1
acto;0;0;0;0;0;0;0;0;0;0
interino;0;0;0;0;0;0;0;0;0;0
accion;1;0;0;0;0;0;0;0;0;0
procesable;0;1;1;0;1;0;0;0;0;0
activo;0;0;0;0;0;0;0;0;0;0
actividad;0;0;0;0;0;0;0;0;0;0
actor;0;0;0;0;0;0;0;0;0;0
real;1;0;0;0;0;0;0;0;0;0
realidad;0;0;0;0;0;0;0;0;0;0
actuario;0;0;0;0;0;0;0;0;0;0
agudeza;1;0;0;0;0;0;0;0;0;0
perspicacia;1;0;0;0;0;0;0;0;0;0
acupuntura;0;0;0;0;0;0;0;0;0;0
extremadamente;0;0;0;0;0;0;0;0;0;0
